P_PV_kW,P_EV_kW
7.4625,939.04
4.975,1447.30
2.4875,1240.76
0,1690.16
0,2214.68
0,2117.14
0,1552.77
0,1057.86
0,2114.28
0,2091.23
0,2257.12
0,2111.66
0,2084.84
0,2299.61
0,2175.60
0,2627.79
0,2878.97
0,2047.59
0,1943.70
0,1981.60
0,1951.29
0,798.59
0,834.45
0,0.00
0,0.00
0,0.00
0,769.95
0,505.93
0,505.93
0,299.33
0,532.53
0,532.53
0,68.93
0,0.00
0,712.89
0,712.89
0,724.93
0,1128.96
0,1138.83
0,647.59
0,360.23
0,1174.99
0,990.72
0,2028.66
0,1858.36
0,2198.35
0,2043.88
0,2628.48
66.975,2716.63
133.95,2122.63
200.925,2436.35
267.9,2589.00
497.7875,1683.77
727.675,1502.07
957.5625,1185.11
1187.45,503.40
1452.3125,563.23
1717.175,1691.88
1982.0375,620.93
2246.9,616.08
2423.3875,338.06
2599.875,1097.64
2776.3625,987.55
2952.85,192.15
3053.575,192.15
3154.3,0.00
3255.025,956.68
3355.75,949.46
3277.6875,90.25
3199.625,330.16
3121.5625,280.19
3043.5,836.81
3039.025,928.46
3034.55,563.35
3030.075,563.35
3025.6,451.18
2994.325,0.00
2963.05,116.84
2931.775,963.93
2900.5,1565.83
2719.85,799.22
2539.2,524.33
2358.55,327.70
2177.9,799.29
2044.0375,799.29
1910.175,229.85
1776.3125,422.23
1642.45,285.54
1344.625,269.72
1046.8,178.34
748.975,465.87
451.15,418.95
340.2625,718.14
229.375,718.14
118.4875,1104.26
7.6,785.50
5.7,2098.28
3.8,1836.25
1.9,2300.23
0,2625.70
0,2143.63
0,2463.19
0,2510.63
0,1950.56
0,1269.46
0,2716.94
0,1595.08
0,1681.92
0,1876.63
0,1942.25
0,1879.54
0,1890.52
0,2165.73
0,2163.27
0,2033.01
0,1463.61
0,888.31
0,767.50
0,1148.88
0,0.00
0,0.00
0,343.69
0,343.69
0,0.00
0,0.00
0,0.00
0,0.00
0,433.79
0,433.79
0,284.74
0,340.45
0,704.71
0,761.85
0,688.17
0,626.86
0,868.04
0,457.17
0,631.85
0,451.04
0,1136.06
0,2524.42
0,2310.15
0,2048.62
0,2179.06
76.3625,2590.18
152.725,2525.94
229.0875,2143.15
305.45,2500.02
566.55,1558.50
827.65,2194.48
1088.75,2811.52
1349.85,2199.42
1617.625,894.62
1885.4,1295.96
2153.175,1684.73
2420.95,1515.35
2599.8375,854.66
2778.725,578.08
2957.6125,260.50
3136.5,1279.30
3228.6875,1229.38
3320.875,819.35
3413.0625,270.16
3505.25,366.44
3409.875,0.00
3314.5,0.00
3219.125,0.00
3123.75,710.67
3067.0125,1283.71
3010.275,1854.69
2953.5375,345.01
2896.8,476.72
2917,139.09
2937.2,171.50
2957.4,146.91
2977.6,0.00
2834.15,865.61
2690.7,865.61
2547.25,1003.36
2403.8,895.72
2124.7875,620.16
1845.775,1073.19
1566.7625,545.95
1287.75,300.17
1076.4375,393.58
865.125,662.33
653.8125,509.16
442.5,374.81
332.5,614.98
222.5,577.50
112.5,413.74
2.5,1234.85
1.875,1271.15
1.25,2194.46
0.625,1528.11
0,1900.76
0,1311.27
0,1568.37
0,2432.38
0,2111.21
0,2747.08
0,2478.51
0,1489.68
0,2392.27
0,2592.93
0,1825.07
0,2518.11
0,1994.12
0,1894.44
0,2272.24
0,1850.75
0,872.74
0,1096.36
0,822.27
0,380.00
0,720.00
0,798.89
0,798.89
0,220.49
0,288.93
0,573.62
0,0.00
0,120.45
0,551.98
0,487.44
0,1130.06
0,543.06
0,1342.72
0,425.25
0,660.83
0,928.02
0,928.96
0,1245.33
0,664.59
0,222.74
0,898.61
0,1288.41
0,2178.55
0,2436.10
0,2374.44
78.1375,1753.95
156.275,1696.56
234.4125,2015.85
312.55,1230.96
576.875,1471.30
841.2,792.98
1105.525,1417.69
1369.85,1087.89
1629.6875,1033.45
1889.525,671.37
2149.3625,1255.71
2409.2,1045.90
2599.125,743.24
2789.05,432.99
2978.975,764.87
3168.9,764.87
3279.25,550.15
3389.6,595.72
3499.95,476.66
3610.3,529.00
3656.0125,824.50
3701.725,343.42
3747.4375,266.25
3793.15,892.37
3738.975,601.72
3684.8,564.39
3630.625,682.21
3576.45,1430.72
3498.925,1276.42
3421.4,944.23
3343.875,126.49
3266.35,393.85
3028.975,205.48
2791.6,785.13
2554.225,950.18
2316.85,612.88
2089.075,339.85
1861.3,448.28
1633.525,201.67
1405.75,201.67
1170.9875,201.67
936.225,519.17
701.4625,938.24
466.7,768.18
352.25,1064.81
237.8,997.61
123.35,873.59
8.9,799.29
6.675,1291.34
4.45,1284.49
2.225,774.44
0,1409.24
0,1955.83
0,2402.22
0,2779.93
0,2114.98
0,2090.51
0,1551.22
0,2192.62
0,1977.79
0,2125.87
0,2303.06
0,2830.44
0,2883.78
0,2990.01
0,2451.49
0,1939.15
0,1928.97
0,2434.11
0,941.86
0,1446.33
0,434.46
0,724.90
0,723.12
0,546.22
0,482.92
0,372.09
0,255.79
0,278.66
0,789.89
0,1195.74
0,749.79
0,769.10
0,693.23
0,900.09
0,713.78
0,224.79
0,625.88
0,511.62
0,0.00
0,620.71
0,1319.31
0,2006.27
0,2390.09
0,915.08
0,2329.11
60.825,1978.51
121.65,1674.90
182.475,1604.29
243.3,1882.84
417.625,1975.11
591.95,1071.89
766.275,1847.71
940.6,773.07
1175.9,975.28
1411.2,1138.38
1646.5,943.38
1881.8,780.01
2031.625,900.40
2181.45,1093.77
2331.275,999.22
2481.1,709.75
2529.9125,418.76
2578.725,311.54
2627.5375,311.54
2676.35,280.07
2760.0375,280.07
2843.725,130.78
2927.4125,835.06
3011.1,602.85
3073.4875,1443.80
3135.875,2072.07
3198.2625,906.78
3260.65,415.78
3099.725,353.24
2938.8,498.45
2777.875,370.50
2616.95,745.80
2452.125,499.61
2287.3,615.95
2122.475,615.95
1957.65,378.00
1742.3625,895.06
1527.075,480.65
1311.7875,591.54
1096.5,591.54
872.875,768.13
649.25,278.50
425.625,278.50
202,0.00
153.525,939.77
105.05,1396.06
56.575,1094.24
8.1,985.34
6.075,1713.26
4.05,2000.90
2.025,2070.39
0,1013.04
0,970.18
0,2147.03
0,2622.87
0,1837.22
0,1799.58
0,2162.94
0,2470.99
0,2583.94
0,2593.82
0,2185.57
0,2342.59
0,2473.44
0,2398.43
0,2499.86
0,2398.98
0,778.86
0,1289.17
0,551.17
0,463.18
0,0.00
0,429.38
0,0.00
0,167.90
0,560.23
0,483.27
0,226.01
0,73.12
0,837.43
0,1258.19
0,141.65
0,0.00
0,519.08
0,519.08
0,155.40
0,155.40
0,537.13
0,537.13
0,478.14
0,703.05
0,1838.36
0,2133.15
0,2020.32
0,1241.85
0,2057.25
40.4375,2397.99
80.875,2518.14
121.3125,1628.71
161.75,809.06
306.0375,340.77
450.325,901.61
594.6125,1910.96
738.9,1724.95
819.9125,1291.47
900.925,808.46
981.9375,815.60
1062.95,1010.26
1155.775,458.03
1248.6,304.83
1341.425,399.35
1434.25,844.74
1585.975,414.43
1737.7,714.17
1889.425,632.98
2041.15,179.05
2238.875,302.37
2436.6,480.56
2634.325,397.23
2832.05,1438.87
2718.4625,1518.85
2604.875,625.22
2491.2875,1102.79
2377.7,525.88
2352.825,522.48
2327.95,421.78
2303.075,225.78
2278.2,721.07
1965.1125,609.50
1652.025,293.51
1338.9375,150.00
1025.85,760.73
962.55,50.00
899.25,401.58
835.95,401.58
772.65,509.69
616.2,509.69
459.75,234.26
303.3,164.45
146.85,699.68
110.4375,518.32
74.025,925.86
37.6125,849.32
1.2,372.36
0.9,989.56
0.6,1374.23
0.3,1938.10
0,2354.54
0,2408.62
0,2692.46
0,2895.10
0,2543.48
0,2412.28
0,1691.45
0,1663.87
0,2704.70
0,2178.08
0,1914.91
0,1717.97
0,1801.17
0,2005.01
0,2412.24
0,2277.45
0,1648.55
0,992.65
0,457.32
0,351.03
0,0.00
0,0.00
0,374.30
0,0.00
0,0.00
0,0.00
0,122.81
0,122.81
0,552.72
0,429.90
0,61.44
0,310.36
0,310.36
0,163.60
0,291.55
0,291.55
0,0.00
0,348.06
0,435.29
0,435.29
0,764.41
0,1910.83
0,2379.44
0,1372.42
0,1916.09
43.8875,1909.03
87.775,2199.07
131.6625,2053.90
175.55,2305.28
430.55,2432.16
685.55,2223.13
940.55,2632.77
1195.55,916.89
1387.9875,785.03
1580.425,533.56
1772.8625,371.09
1965.3,486.00
2156.575,584.23
2347.85,628.54
2539.125,805.61
2730.4,382.16
2850.6375,625.12
2970.875,591.87
3091.1125,591.87
3211.35,591.18
3259.5625,550.24
3307.775,420.22
3355.9875,281.30
3404.2,987.31
3316.525,571.11
3228.85,732.93
3141.175,749.77
3053.5,950.99
2945.975,707.78
2838.45,656.14
2730.925,526.07
2623.4,428.38
2555.3625,428.38
2487.325,271.93
2419.2875,233.21
2351.25,233.21
2171.6125,0.00
1991.975,0.00
1812.3375,734.62
1632.7,734.62
1403.0125,395.69
1173.325,509.11
943.6375,509.11
713.95,385.74
537.9125,1017.71
361.875,989.02
185.8375,1071.66
9.8,1368.53
7.35,1515.60
4.9,1435.63
2.45,1269.30
0,2803.71
0,2032.39
0,2052.61
0,1873.23
0,2550.95
0,2204.64
0,2329.43
0,1988.07
0,1727.30
0,2123.66
0,2441.62
0,2643.18
0,2703.33
0,1981.32
0,2143.12
0,1969.15
0,1663.09
0,1139.60
0,802.10
0,0.00
0,0.00
0,0.00
0,184.01
0,184.01
0,342.43
0,548.91
0,548.91
0,324.23
0,723.21
0,271.48
0,82.53
0,164.20
0,826.72
0,451.26
0,606.97
0,1341.62
0,1318.78
0,417.16
0,1389.67
0,760.77
0,1799.18
0,1260.26
0,1706.71
0,1801.71
0,2229.37
73.825,2018.90
147.65,2132.73
221.475,2251.96
295.3,1974.24
553.5125,964.89
811.725,1441.01
1069.9375,1392.13
1328.15,947.83
1553.625,1289.07
1779.1,360.49
2004.575,1044.53
2230.05,1066.46
2309.025,418.00
2388,1011.06
2466.975,1698.10
2545.95,1224.52
2698.225,0.00
2850.5,249.13
3002.775,955.61
3155.05,221.98
3118.2125,267.61
3081.375,317.52
3044.5375,304.32
3007.7,483.18
3122,177.73
3236.3,449.48
3350.6,1324.29
3464.9,1391.57
3153.4625,671.63
2842.025,1010.22
2530.5875,705.49
2219.15,464.76
2199.75,464.76
2180.35,903.56
2160.95,668.78
2141.55,599.21
2044.4875,419.50
1947.425,369.02
1850.3625,1128.04
1753.3,939.67
1490.3375,533.74
1227.375,175.49
964.4125,294.75
701.45,578.68
529.375,854.35
357.3,1409.42
185.225,1135.75
13.15,1053.83
9.8625,1974.65
6.575,2002.05
3.2875,1496.57
0,1324.88
0,1246.30
0,2034.94
0,2138.17
0,2102.88
0,2178.24
0,2127.29
0,2222.61
0,1844.13
0,2009.71
0,1246.20
0,2076.98
0,2293.02
0,1551.16
0,2584.54
0,2150.54
0,1768.44
0,926.51
0,834.16
0,834.16
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,301.67
0,787.55
0,473.02
0,531.45
0,449.28
0,21.96
0,0.00
0,306.63
0,580.81
0,836.14
0,2313.72
0,1879.76
0,1854.20
0,1277.34
0,1796.92
60.175,2186.35
120.35,1363.81
180.525,1330.81
240.7,978.63
464.675,1049.84
688.65,1797.22
912.625,1701.91
1136.6,1116.96
1397.5625,1125.43
1658.525,1125.43
1919.4875,710.15
2180.45,523.41
2352.2375,849.11
2524.025,823.41
2695.8125,1316.86
2867.6,917.02
2992.675,583.30
3117.75,126.44
3242.825,427.90
3367.9,573.37
3371.15,1000.67
3374.4,765.35
3377.65,379.06
3380.9,704.73
3297.4875,1119.14
3214.075,1167.41
3130.6625,160.43
3047.25,487.45
3042.325,340.93
3037.4,316.98
3032.475,432.08
3027.55,838.58
2769.1125,547.00
2510.675,148.59
2252.2375,271.49
